409,7,168.0,0,0,848.9167,0,1.86573024689
7187,67,1091.0,121097244,0,442737.4161,0,3093.20819341
2209,0,475.0,0,0,61025.9389,0,-7.31154777909
12948,4,320.0,153937,0,121563.0,0,383.821491942
526,63,1777.0,0,0,280943.673,0,101.64827287
88118,169,1637.0,102455275,0,1109009.9831,0,1656.35530947
19985,44,1314.0,137691875,0,358289.5499,0,1087.66666109
7700,42,1115.0,94763434,0,204715.438,0,889.320691366
218,4,249.0,0,0,144762.3,0,39.8691238892
8497,1,227.0,82350414,0,53918.2,0,2.13401769264
1915,46,555.0,60472311,0,153837.2673,0,1548.15951037
454,23,775.0,0,0,140315.8625,0,64.0827345713
8744,53,1119.0,129995619,0,310292.1093,0,1427.97465658
1527,22,759.0,66736362,0,98841.4509,0,237.287814819
14199,18,712.0,23320599,0,192072.5893,0,390.110084615
5817,3,316.0,5175841,0,45486.8167,0,455.997966627
415,24,358.0,0,0,127391.5592,0,-225.52699574
3796,23,720.0,84244149,0,109782.031,0,-98.2188086021
10607,44,1321.0,100927730,0,436007.215,0,3612.28146153
895,3,321.0,0,0,213138.5363,0,75.6728742171
70211,65,746.0,258040249,0,586249.1296,0,1843.35362189
1668,34,703.0,30695152,0,132565.8082,0,-1393.44046874
191,0,0,0,0,764.0,0,87.2254469321
1097,0,331.0,0,0,59446.1452,0,154.410625115
278,51,571.0,0,0,81630.8289,0,-366.603350148
386,6,252.0,0,0,29784.6666,0,19.4105058878
584,0,312.0,0,0,85051.8929,0,-54.6419908747
7092,17,650.0,137204332,0,160460.4917,0,-797.799723993
14732,144,1649.0,193960784,0,364676.6962,0,334.537526496
2526,68,1738.0,234812238,0,396672.7554,0,-839.866181507
2751,1,840.0,98107557,0,158001.7547,0,-1411.5687953
330,0,0,0,0,660.0,0,1.83976103511
12940,59,898.0,106686871,0,246111.6883,0,-20.5960533683
421,9,533.0,0,0,57076.7,0,-220.963460196
372,0,321.0,0,0,4390.0,0,-1.94158642246
256,11,483.0,0,0,54896.3829,0,-27.0306826801
324,11,629.0,0,0,80686.3529,0,-143.274426928
237,1,468.0,0,0,34142.9916,0,-221.97264042
23220,93,929.0,5005702,0,211981.1959,0,2329.85381808
756,3,635.0,0,0,67507.1167,0,-143.275721655
2149,39,592.0,96825137,0,122489.7509,0,-321.49707089
37113,47,2265.0,89478859,0,860947.975,0,492.266041411
750,20,938.0,0,0,155747.6862,0,-217.167439404
205,2,82.0,0,0,9977.1667,0,7.2805790221
1816,30,680.0,55926287,0,172110.631,0,276.767706478
594,4,347.0,0,0,62145.4368,0,365.616637764
15709,0,316.0,5710,0,110335.95,0,-274.662405225
992,15,403.0,0,0,83987.061,0,607.144433139
5218,8,589.0,104337163,0,85076.0646,0,2704.05322571
388,17,499.0,0,0,77667.0895,0,412.78567297
15031,36,814.0,53550213,0,288860.0283,0,440.118667153
374,7,579.0,0,0,81463.4916,0,1209.84998389
17315,31,1019.0,186986414,0,497681.0182,0,662.637842684
2005,7,421.0,102671420,0,86069.5099,0,-850.111118032
15949,72,768.0,201324214,0,253100.6462,0,488.777613136
4382,32,1141.0,37866963,0,244600.9029,0,238.690837687
686,1,224.0,0,0,34496.1667,0,-97.5109508994
7060,71,1383.0,173162173,0,314345.7824,0,218.636572
508,26,807.0,0,0,149315.2271,0,-7.80328431175
268,4,494.0,0,0,49513.6692,0,-78.8846217681
4343,19,705.0,88031058,0,48036.3007,0,406.935112137
1771,9,461.0,8491641,0,138117.7175,0,580.586228522
6271,64,384.0,34937522,0,46375.6147,0,536.338621898
273,1,394.0,0,0,40121.2,0,117.274854779
10739,38,603.0,94908304,0,167004.7273,0,380.528831163
534,0,259.0,0,0,33445.2222,0,495.041332445
241,2,485.0,0,0,68700.9,0,-374.145735514
806,7,518.0,0,0,164005.0667,0,-397.172081625
228,19,785.0,0,0,91718.8742,0,164.048622875
1296,12,896.0,69329804,0,169243.5712,0,459.930825894
2924,10,438.0,68151061,0,111715.6641,0,586.639278634
8622,87,2410.0,143028763,0,497426.3291,0,174.307220774
16762,1,300.0,24085203,0,84247.9429,0,16.7352311627
3117,0,203.0,48795365,0,39959.2452,0,11.2895954935
417,0,313.0,0,0,31071.3615,0,-18.1400543578
3581,20,602.0,121063884,0,178674.868,0,497.822237292
2308,5,670.0,60618479,0,67617.6999,0,840.658623451
732,10,496.0,0,0,78068.0453,0,-31.0705857483
2195,30,407.0,54847497,0,94580.5416,0,903.32867617
3120,42,1195.0,15275700,0,162547.625,0,68.9463050528
1146,0,143.0,0,0,188927.8333,0,-40.0053481317
7532,0,85.0,38533251,0,61628.579,0,21.5496461468
554,17,688.0,0,0,136425.9405,0,537.189736275
192,0,353.0,0,0,25272.3286,0,-100.936092512
33217,24,329.0,7346728,0,200183.6333,0,-115.149970003
378,60,790.0,0,0,91025.6783,0,1411.99600987
2525,19,243.0,32356480,0,67235.0754,0,60.7133807504
1147,4,568.0,45854765,0,219708.131,0,2103.82974294
1386,15,633.0,1133584,0,66911.4138,0,-695.280013675
1139,6,1350.0,0,0,257372.948,0,317.8500642
2766,35,580.0,78066765,0,121630.8373,0,829.129468081
407,16,227.0,0,0,51381.274,0,-227.012962528
267,0,0,0,0,1056.0,0,-2.01311930256
4414,5,554.0,93008821,0,102192.7369,0,406.940949754
