5.1 1:75 2:958.0 3:31642702 4:6.75 5:598152.0035 6:0.0714285714286 7:2862.5863818
0 1:0 2:0 3:0 4:0 5:9715.8333 6:0.0 7:-50.536880851
5.2 1:18 2:1102.0 3:91322022 4:11.0 5:404395.734 6:0.0588235294118 7:2085.53504033
4.5 1:21 2:657.0 3:4887696 4:5.625 5:88493.0921 6:0.090909090909 7:1383.74608265
0 1:3 2:84.0 3:0 4:0 5:25376.8 6:0.0 7:14.8198190607
4.3 1:30 2:394.0 3:84078188 4:2.8 5:132941.0 6:0.142857142857 7:1543.94684985
0 1:2 2:579.0 3:0 4:0 5:93757.2869 6:0.2 7:-50.9514331494
6.1 1:11 2:576.0 3:7171751 4:3.2 5:76858.8667 6:0.111111111111 7:879.441624578
5.9 1:0 2:290.0 3:683707 4:6.75 5:134597.2556 6:0.0 7:1555.77904188
5.6 1:67 2:1070.0 3:61701846 4:9.75 5:540616.1548 6:0.0833333333333 7:2385.69475498
6.5 1:72 2:1157.0 3:35504499 4:7.6 5:715219.7673 6:0.0833333333333 7:1764.93053289
7.7 1:125 2:1407.0 3:163561526 4:6.90909090908 5:1147100.5498 6:0.0555555555556 7:142.813654818
2.7 1:19 2:669.0 3:14662719 4:5.2 5:205734.9389 6:0.0909090909091 7:-568.408670318
8.0 1:23 2:535.0 3:28716393 4:3.375 5:628284.5849 6:0.125 7:900.111685844
5.3 1:39 2:1218.0 3:54891879 4:6.8 5:265345.0555 6:0.0833333333333 7:477.675701458
6.4 1:59 2:1353.0 3:190993080 4:16.5 5:447546.3564 6:0.05 7:847.181910631
0 1:0 2:110.0 3:0 4:0 5:8059.3 6:0.0 7:-51.5978605017
4.7 1:0 2:178.0 3:34349821 4:2.5 5:84009.6667 6:0.2 7:3077.45120379
6.7 1:89 2:1435.0 3:134649316 4:8.0 5:658442.6803 6:0.0588235294117 7:1915.67790595
0 1:4 2:212.0 3:0 4:0 5:14343.5 6:0.333333333333 7:867.286801577
6.2 1:0 2:60.0 3:153795 4:6.0 5:303264.2498 6:0.0 7:648.718190692
5.7 1:5 2:304.0 3:34334479 4:1.5 5:99160.1179 6:0.2 7:716.279001783
4.2 1:8 2:654.0 3:31739726 4:0 5:201613.7953 6:0.1 7:42.797188775
4.3 1:24 2:639.0 3:199004688 4:4.0 5:290230.042 6:0.111111111111 7:914.581145631
0 1:0 2:67.0 3:0 4:0 5:4639.5 6:0.125 7:-54.4266199507
7.0 1:5 2:166.0 3:15153 4:0 5:21680.5714 6:0.0 7:43.4073434085
6.9 1:118 2:1869.0 3:114763280 4:17.625 5:1798692.7293 6:0.0555555555556 7:1562.41869328
0 1:3 2:142.0 3:0 4:0 5:44824.4833 6:0.0 7:-89.3147250086
0 1:0 2:80.0 3:0 4:0 5:20099.75 6:0.0 7:11.1895363917
4.1 1:0 2:267.0 3:474315 4:4.4 5:112068.0952 6:0.125 7:224.964185169
3.6 1:0 2:80.0 3:0 4:0.727272727272 5:11135.0 6:0.0 7:-3.36165434438
0 1:7 2:450.0 3:0 4:0 5:62769.8952 6:0.0 7:-47.2627330314
0 1:0 2:161.0 3:0 4:0 5:9942.75 6:0.0 7:-9.31512682597
3.8 1:6 2:571.0 3:2694919 4:3.6 5:182665.3756 6:0.125 7:-105.853271378
0 1:0 2:86.0 3:0 4:0 5:1960.0 6:0.0 7:9.99663320014
0 1:1 2:292.0 3:0 4:0 5:15926.0 6:0.0 7:191.901287004
0 1:0 2:0 3:0 4:0 5:18375.6 6:0.0 7:-46.0113289805
6.8 1:6 2:440.0 3:5990909 4:3.2 5:81126.553 6:0.111111111111 7:1560.69470654
5.0 1:56 2:3315.0 3:316047660 4:26.0 5:926654.7774 6:0.04 7:450.262919359
3.3 1:98 2:1156.0 3:83964921 4:6.0 5:458495.7147 6:0.0588235294118 7:260.53269539
0 1:0 2:55.0 3:0 4:0 5:26498.75 6:0.0 7:-11.5832853433
0 1:0 2:57.0 3:0 4:4.61538461538 5:14125.3333 6:0.0 7:-5.81897128591
0 1:7 2:773.0 3:0 4:0 5:172948.4167 6:0.0 7:643.778662057
0 1:0 2:0 3:0 4:0 5:4735.0 6:0.0 7:-10.2358296569
3.9 1:18 2:856.0 3:255366132 4:6.4 5:132714.7221 6:0.0714285714286 7:1545.03306734
0 1:0 2:183.0 3:0 4:0 5:9173.1667 6:0.0 7:-52.4306748091
0 1:0 2:160.0 3:0 4:0 5:46812.1667 6:0.0 7:-0.819534637306
0 1:0 2:0 3:0 4:0 5:82182.6667 6:0.0 7:-1.70359743434
5.8 1:7 2:513.0 3:13880090 4:3.375 5:193053.4622 6:0.1 7:5.11202599359
5.2 1:26 2:480.0 3:48122093 4:4.0 5:175998.7368 6:0.142857142857 7:1761.65789597
0 1:1 2:339.0 3:0 4:0 5:46511.3096 6:0.0 7:700.98570747
7.0 1:14 2:315.0 3:23489682 4:1.6 5:62305.3 6:0.25 7:2211.72962791
5.4 1:16 2:1181.0 3:248015983 4:6.8 5:448493.0848 6:0.125 7:712.333098277
0 1:0 2:394.0 3:0 4:0 5:45820.5333 6:0.0 7:-5.63259522433
6.2 1:0 2:55.0 3:103939 4:2.0 5:28370.9584 6:0.5 7:3060.41215114
0 1:0 2:0 3:0 4:0 5:3053.5 6:0.0 7:135.56686178
4.9 1:0 2:123.0 3:2862324 4:4.4 5:22120.5 6:0.0 7:22.3181715717
5.4 1:22 2:380.0 3:7168003 4:1.875 5:52071.3144 6:0.166666666667 7:764.3513309
8.0 1:23 2:86.0 3:30710 4:0.333333333333 5:26033.6364 6:0.5 7:-7.69306503301
3.9 1:46 2:667.0 3:134829228 4:3.63636363636 5:146461.502 6:0.111111111111 7:1652.21807991
0 1:19 2:515.0 3:0 4:0 5:85423.9164 6:0.0 7:479.827039271
3.6 1:41 2:773.0 3:55495307 4:4.4 5:150271.7588 6:0.142857142857 7:100.173650634
4.2 1:0 2:395.0 3:3721117 4:3.6 5:83381.9 6:0.2 7:-46.3865261903
6.1 1:13 2:988.0 3:20816600 4:5.6 5:584297.9476 6:0.1 7:846.030132557
4.7 1:20 2:547.0 3:68682830 4:2.625 5:115940.5036 6:0.2 7:2219.91308533
5.5 1:2 2:554.0 3:15589842 4:6.8 5:117206.7476 6:0.0833333333333 7:-15.8605378424
0 1:0 2:80.0 3:0 4:0 5:5176.0 6:0.0 7:148.142060321
